sentences,result
Ann opened the washing machine.Ann put in the bleach.Ann put in her pants.Ann put in her towel.Ann turned on the washing machine.,plausible
Ann turned on the washing machine.Ann put in the bleach.Ann put in her pants.Ann put in her towel.Ann opened the washing machine.,implausible
Ann opened the washing machine.Ann put in the bleach.Ann put in her pants.Ann put in her towel.Ann turned on the washing machine.,plausible
John stepped out of the bathtub.John picked up his hair brush.John dropped his hair brush in the toilet.John opened the lid of the toilet.John put on his socks.,implausible
John stepped out of the bathtub.John picked up his hair brush.John opened the lid of the toilet.John dropped his hair brush in the toilet.John put on his socks.,plausible
John put on his socks.John picked up his hair brush.John opened the lid of the toilet.John dropped his hair brush in the toilet.John stepped out of the bathtub.,implausible
John stepped out of the bathtub.John picked up his hair brush.John opened the lid of the toilet.John dropped his hair brush in the toilet.John put on his socks.,plausible
Mary put the water in a cup with noodles soup.Mary went over to the kitchen sink to get some water.Mary then put the soup in the microwave to heat it.Mary used a spoon to stir the soup in the cup.Mary heated some pizza in the microwave oven.,implausible
Mary went over to the kitchen sink to get some water.Mary put the water in a cup with noodles soup.Mary then put the soup in the microwave to heat it.Mary used a spoon to stir the soup in the cup.Mary heated some pizza in the microwave oven.,implausible
Mary went over to the kitchen sink to get some water.Mary put the water in a cup with noodles soup.Mary used a spoon to stir the soup in the cup.Mary then put the soup in the microwave to heat it.Mary heated some pizza in the microwave oven.,implausible
Mary went over to the kitchen sink to get some water.Mary put the water in a cup with noodles soup.Mary then put the soup in the microwave to heat it.Mary used a spoon to stir the soup in the cup.Mary heated some pizza in the microwave oven.,implausible
Mary went over to the kitchen sink to get some water.Mary then put the soup in the microwave to heat it.Mary put the water in a cup with noodles soup.Mary used a spoon to stir the soup in the cup.Mary heated some pizza in the microwave oven.,implausible
Mary went over to the kitchen sink to get some water.Mary put the water in a cup with noodles soup.Mary then put the soup in the microwave to heat it.Mary used a spoon to stir the soup in the cup.Mary heated some pizza in the microwave oven.,implausible
Tom got a can of oil for his car.Tom got the oil plug wrench out of the tool box.Tom drained the oil from his car.Tom took the oil filter off and put in a new one .Tom took a filter wrench from the same box.Tom put the oil plug back in and put the new oil in car.,implausible
Tom got a can of oil for his car.Tom got the oil plug wrench out of the tool box.Tom drained the oil from his car.Tom took a filter wrench from the same box.Tom took the oil filter off and put in a new one .Tom put the oil plug back in and put the new oil in car.,plausible
Tom got a can of oil for his car.Tom put the oil plug back in and put the new oil in car.Tom drained the oil from his car.Tom took a filter wrench from the same box.Tom took the oil filter off and put in a new one .Tom got the oil plug wrench out of the tool box.,implausible
Tom got a can of oil for his car.Tom got the oil plug wrench out of the tool box.Tom drained the oil from his car.Tom took a filter wrench from the same box.Tom took the oil filter off and put in a new one .Tom put the oil plug back in and put the new oil in car.,plausible
Tom put the oil plug back in and put the new oil in car.Tom got the oil plug wrench out of the tool box.Tom drained the oil from his car.Tom took a filter wrench from the same box.Tom took the oil filter off and put in a new one .Tom got a can of oil for his car.,implausible
Tom got a can of oil for his car.Tom got the oil plug wrench out of the tool box.Tom drained the oil from his car.Tom took a filter wrench from the same box.Tom took the oil filter off and put in a new one .Tom put the oil plug back in and put the new oil in car.,plausible
Mike set his briefcase on the passenger seat.Mike got into his car to head to work.Mike saw a bee and spilled his coffee.Mike quickly got some wet wipes from the glove compartment.Mike wiped up the coffee as best he could.Mike drove to work.,implausible
Mike got into his car to head to work.Mike set his briefcase on the passenger seat.Mike saw a bee and spilled his coffee.Mike quickly got some wet wipes from the glove compartment.Mike wiped up the coffee as best he could.Mike drove to work.,plausible
Mike got into his car to head to work.Mike set his briefcase on the passenger seat.Mike saw a bee and spilled his coffee.Mike wiped up the coffee as best he could.Mike quickly got some wet wipes from the glove compartment.Mike drove to work.,plausible
Mike got into his car to head to work.Mike set his briefcase on the passenger seat.Mike saw a bee and spilled his coffee.Mike quickly got some wet wipes from the glove compartment.Mike wiped up the coffee as best he could.Mike drove to work.,plausible
John sat down at the desk.John walked into the office.John opened the book and begin to read.John closed the book and wrote the report.John finished the report and scanned it on the scanner.,implausible
John walked into the office.John sat down at the desk.John opened the book and begin to read.John closed the book and wrote the report.John finished the report and scanned it on the scanner.,implausible
John walked into the office.John sat down at the desk.John opened the book and begin to read.John finished the report and scanned it on the scanner.John closed the book and wrote the report.,plausible
John walked into the office.John sat down at the desk.John opened the book and begin to read.John closed the book and wrote the report.John finished the report and scanned it on the scanner.,implausible
John walked into the office.John sat down at the desk.John closed the book and wrote the report.John opened the book and begin to read.John finished the report and scanned it on the scanner.,implausible
John walked into the office.John sat down at the desk.John opened the book and begin to read.John closed the book and wrote the report.John finished the report and scanned it on the scanner.,implausible
John was sitting next to a tree.John finished the bottle of water.John pulled the water bottle out of his bag.John wiped his sweat with a towel.John stood up and started playing with the football.,implausible
John was sitting next to a tree.John pulled the water bottle out of his bag.John finished the bottle of water.John wiped his sweat with a towel.John stood up and started playing with the football.,plausible
John stood up and started playing with the football.John pulled the water bottle out of his bag.John finished the bottle of water.John wiped his sweat with a towel.John was sitting next to a tree.,implausible
John was sitting next to a tree.John pulled the water bottle out of his bag.John finished the bottle of water.John wiped his sweat with a towel.John stood up and started playing with the football.,plausible
Mary put the pasta in the microwave.Mary took out pasta from the fridge.Mary turned on the microwave.Mary took out ice cream.Mary ate the ice cream with a spoon.,implausible
Mary took out pasta from the fridge.Mary put the pasta in the microwave.Mary turned on the microwave.Mary took out ice cream.Mary ate the ice cream with a spoon.,plausible
Mary took out pasta from the fridge.Mary put the pasta in the microwave.Mary turned on the microwave.Mary ate the ice cream with a spoon.Mary took out ice cream.,implausible
Mary took out pasta from the fridge.Mary put the pasta in the microwave.Mary turned on the microwave.Mary took out ice cream.Mary ate the ice cream with a spoon.,plausible
Mary took out pasta from the fridge.Mary turned on the microwave.Mary put the pasta in the microwave.Mary took out ice cream.Mary ate the ice cream with a spoon.,plausible
Mary took out pasta from the fridge.Mary put the pasta in the microwave.Mary turned on the microwave.Mary took out ice cream.Mary ate the ice cream with a spoon.,plausible
"Mary pulled the chair up to the table in her dad's office.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.Mary cut out pictures from the magazine and taped them into four collages in the notebook.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary went to the all-in-one printer and made three copies each of her artwork.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",implausible
"Mary pulled the chair up to the table in her dad's office.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.Mary cut out pictures from the magazine and taped them into four collages in the notebook.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary went to the all-in-one printer and made three copies each of her artwork.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",plausible
"Mary pulled the chair up to the table in her dad's office.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.Mary cut out pictures from the magazine and taped them into four collages in the notebook.Mary went to the all-in-one printer and made three copies each of her artwork.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",plausible
"Mary pulled the chair up to the table in her dad's office.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.Mary cut out pictures from the magazine and taped them into four collages in the notebook.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary went to the all-in-one printer and made three copies each of her artwork.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",plausible
"Mary pulled the chair up to the table in her dad's office.Mary cut out pictures from the magazine and taped them into four collages in the notebook.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary went to the all-in-one printer and made three copies each of her artwork.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",implausible
"Mary pulled the chair up to the table in her dad's office.Mary pulled a magazine, notebook, scissors, and tape from a pile of stuff on the table.Mary cut out pictures from the magazine and taped them into four collages in the notebook.The phone rang, so Mary answered it and chatted while she finished up her collages.Mary went to the all-in-one printer and made three copies each of her artwork.Mary stapled together three sets of four pages each, and drew Mary's Art on the top page with a pen.Mary opened the laptop and emailed her mom, dad, and sister to come to her Art Show in her dad's office in one hour.",plausible
Mary sat in the chair at the table.Mary carried the notebook to the table.Mary answered the phone.Mary used the pen to write a message in the notebook.Mary used the scissors to cut the message out of the notebook.,implausible
Mary carried the notebook to the table.Mary sat in the chair at the table.Mary answered the phone.Mary used the pen to write a message in the notebook.Mary used the scissors to cut the message out of the notebook.,implausible
Mary carried the notebook to the table.Mary sat in the chair at the table.Mary answered the phone.Mary used the scissors to cut the message out of the notebook.Mary used the pen to write a message in the notebook.,implausible
Mary carried the notebook to the table.Mary sat in the chair at the table.Mary answered the phone.Mary used the pen to write a message in the notebook.Mary used the scissors to cut the message out of the notebook.,implausible
John opened the book.John went to the book.John grabbed the book.John saw a book on the floor.John read the book.,implausible
John saw a book on the floor.John went to the book.John grabbed the book.John opened the book.John read the book.,implausible
John saw a book on the floor.John went to the book.John grabbed the book.John read the book.John opened the book.,implausible
John saw a book on the floor.John went to the book.John grabbed the book.John opened the book.John read the book.,implausible
John grabbed the book.John went to the book.John saw a book on the floor.John opened the book.John read the book.,implausible
John saw a book on the floor.John went to the book.John grabbed the book.John opened the book.John read the book.,implausible
John threw the playing cards out the door.John put the notebook on the coffee table.John powered on the TV.John closed the door.John plugged the TV into the power outlet.,implausible
John threw the playing cards out the door.John put the notebook on the coffee table.John plugged the TV into the power outlet.John closed the door.John powered on the TV.,implausible
Ann boiled potatoes in the pot.Ann picked out the boiled potatoes and mashed them.Ann checked whether the potatoes boiled or not.Ann washed the pot.Ann mixed the spice and other ingredients to the mashed potatoes.,implausible
Ann boiled potatoes in the pot.Ann checked whether the potatoes boiled or not.Ann picked out the boiled potatoes and mashed them.Ann washed the pot.Ann mixed the spice and other ingredients to the mashed potatoes.,plausible
Ann picked out the boiled potatoes and mashed them.Ann checked whether the potatoes boiled or not.Ann boiled potatoes in the pot.Ann washed the pot.Ann mixed the spice and other ingredients to the mashed potatoes.,implausible
Ann boiled potatoes in the pot.Ann checked whether the potatoes boiled or not.Ann picked out the boiled potatoes and mashed them.Ann washed the pot.Ann mixed the spice and other ingredients to the mashed potatoes.,plausible
Ann boiled potatoes in the pot.Ann checked whether the potatoes boiled or not.Ann mixed the spice and other ingredients to the mashed potatoes.Ann washed the pot.Ann picked out the boiled potatoes and mashed them.,implausible
Ann boiled potatoes in the pot.Ann checked whether the potatoes boiled or not.Ann picked out the boiled potatoes and mashed them.Ann washed the pot.Ann mixed the spice and other ingredients to the mashed potatoes.,plausible
Hornets buzz by and start swarming her food.Mary sets up her picnic at the park.Mary covers her food to prevent the hornets.Mary calls her friends on her phone to eat some food at the picnic.Mary drank some juice with a glass.,implausible
Mary sets up her picnic at the park.Hornets buzz by and start swarming her food.Mary covers her food to prevent the hornets.Mary calls her friends on her phone to eat some food at the picnic.Mary drank some juice with a glass.,implausible
Mary sets up her picnic at the park.Mary covers her food to prevent the hornets.Hornets buzz by and start swarming her food.Mary calls her friends on her phone to eat some food at the picnic.Mary drank some juice with a glass.,implausible
Mary sets up her picnic at the park.Hornets buzz by and start swarming her food.Mary covers her food to prevent the hornets.Mary calls her friends on her phone to eat some food at the picnic.Mary drank some juice with a glass.,implausible
"Tom stood on the chair.Tom reached for the scissors, but dropped them on the floor.Tom quickly wiped up the ink but the copier could not turn on.Tom then spilled blue ink on the copier.Tom wrote about his bad day in his notebook.",plausible
"Tom stood on the chair.Tom reached for the scissors, but dropped them on the floor.Tom then spilled blue ink on the copier.Tom quickly wiped up the ink but the copier could not turn on.Tom wrote about his bad day in his notebook.",plausible
Tom brushed his teeth.Tom put toothpaste on his toothbrush.Tom spit out the toothpaste in the sink.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,plausible
Tom put toothpaste on his toothbrush.Tom brushed his teeth.Tom spit out the toothpaste in the sink.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,plausible
Tom spit out the toothpaste in the sink.Tom brushed his teeth.Tom put toothpaste on his toothbrush.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,implausible
Tom put toothpaste on his toothbrush.Tom brushed his teeth.Tom spit out the toothpaste in the sink.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,plausible
Tom put toothpaste on his toothbrush.Tom spit out the toothpaste in the sink.Tom brushed his teeth.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,plausible
Tom put toothpaste on his toothbrush.Tom brushed his teeth.Tom spit out the toothpaste in the sink.Tom rinsed his face under the faucet.Tom put his socks in the laundry basket.,plausible
John took a ladder out of his car.John used the drill to take apart the ladder.John picked up a drill.John tied the ladder pieces together with rope.John put the pieces in his car.,implausible
John took a ladder out of his car.John picked up a drill.John used the drill to take apart the ladder.John tied the ladder pieces together with rope.John put the pieces in his car.,plausible
John took a ladder out of his car.John picked up a drill.John tied the ladder pieces together with rope.John used the drill to take apart the ladder.John put the pieces in his car.,implausible
John took a ladder out of his car.John picked up a drill.John used the drill to take apart the ladder.John tied the ladder pieces together with rope.John put the pieces in his car.,plausible
John used the drill to take apart the ladder.John picked up a drill.John took a ladder out of his car.John tied the ladder pieces together with rope.John put the pieces in his car.,implausible
John took a ladder out of his car.John picked up a drill.John used the drill to take apart the ladder.John tied the ladder pieces together with rope.John put the pieces in his car.,plausible
Tom spilled the glass of milk on the floor.Tom picked up an orange.Tom poured milk into a glass.Tom took the milk out of the fridge.Tom ate the orange.,implausible
Tom took the milk out of the fridge.Tom picked up an orange.Tom poured milk into a glass.Tom spilled the glass of milk on the floor.Tom ate the orange.,plausible
Tom poured milk into a glass.Tom picked up an orange.Tom took the milk out of the fridge.Tom spilled the glass of milk on the floor.Tom ate the orange.,implausible
Tom took the milk out of the fridge.Tom picked up an orange.Tom poured milk into a glass.Tom spilled the glass of milk on the floor.Tom ate the orange.,plausible
Tom took the milk out of the fridge.Tom ate the orange.Tom poured milk into a glass.Tom spilled the glass of milk on the floor.Tom picked up an orange.,implausible
Tom took the milk out of the fridge.Tom picked up an orange.Tom poured milk into a glass.Tom spilled the glass of milk on the floor.Tom ate the orange.,plausible
Tom sits on his chair.Tom writes with his blue ink pen.Tom opens his notebook.Tom draws with his pencil.Tom cuts out his work using the scissors.,plausible
Tom sits on his chair.Tom opens his notebook.Tom writes with his blue ink pen.Tom draws with his pencil.Tom cuts out his work using the scissors.,plausible
Tom sits on his chair.Tom draws with his pencil.Tom writes with his blue ink pen.Tom opens his notebook.Tom cuts out his work using the scissors.,plausible
Tom sits on his chair.Tom opens his notebook.Tom writes with his blue ink pen.Tom draws with his pencil.Tom cuts out his work using the scissors.,plausible
Tom sits on his chair.Tom opens his notebook.Tom writes with his blue ink pen.Tom cuts out his work using the scissors.Tom draws with his pencil.,implausible
Tom sits on his chair.Tom opens his notebook.Tom writes with his blue ink pen.Tom draws with his pencil.Tom cuts out his work using the scissors.,plausible
Tom sits on his chair.Tom opens his notebook.Tom cuts out his work using the scissors.Tom draws with his pencil.Tom writes with his blue ink pen.,plausible
Tom sits on his chair.Tom opens his notebook.Tom writes with his blue ink pen.Tom draws with his pencil.Tom cuts out his work using the scissors.,plausible
Mary put the plate in the sink.Mary scraped the pasta from the plate into the garbage.Mary put the glass in the sink.Mary put her ice cream in a bowl.Mary gave the ice cream to her mom.,implausible
Mary scraped the pasta from the plate into the garbage.Mary put the plate in the sink.Mary put the glass in the sink.Mary put her ice cream in a bowl.Mary gave the ice cream to her mom.,implausible
Mary scraped the pasta from the plate into the garbage.Mary put the plate in the sink.Mary put the glass in the sink.Mary gave the ice cream to her mom.Mary put her ice cream in a bowl.,implausible
Mary scraped the pasta from the plate into the garbage.Mary put the plate in the sink.Mary put the glass in the sink.Mary put her ice cream in a bowl.Mary gave the ice cream to her mom.,implausible
Tom placed a box on the table.Tom used a hammer and a chainsaw to assemble a table.Tom cut a rope into shreds with scissors.Tom put the shredded rope into the box.Tom closed the box.,plausible
Tom used a hammer and a chainsaw to assemble a table.Tom placed a box on the table.Tom cut a rope into shreds with scissors.Tom put the shredded rope into the box.Tom closed the box.,plausible
Tom used a hammer and a chainsaw to assemble a table.Tom placed a box on the table.Tom cut a rope into shreds with scissors.Tom closed the box.Tom put the shredded rope into the box.,plausible
Tom used a hammer and a chainsaw to assemble a table.Tom placed a box on the table.Tom cut a rope into shreds with scissors.Tom put the shredded rope into the box.Tom closed the box.,plausible
Tom used a hammer and a chainsaw to assemble a table.Tom placed a box on the table.Tom put the shredded rope into the box.Tom cut a rope into shreds with scissors.Tom closed the box.,implausible
Tom used a hammer and a chainsaw to assemble a table.Tom placed a box on the table.Tom cut a rope into shreds with scissors.Tom put the shredded rope into the box.Tom closed the box.,plausible
"Mike finds the remote and uses it to turn on the TV in his living room.Mike is looking for the TV remote on his couch.Mike walks over to the couch in front of his TV and watches a show.When it started to get dark, Mike turned on the lights in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.",implausible
"Mike is looking for the TV remote on his couch.Mike finds the remote and uses it to turn on the TV in his living room.Mike walks over to the couch in front of his TV and watches a show.When it started to get dark, Mike turned on the lights in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.",plausible
"Mike is looking for the TV remote on his couch.Mike finds the remote and uses it to turn on the TV in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.When it started to get dark, Mike turned on the lights in his living room.Mike walks over to the couch in front of his TV and watches a show.",implausible
"Mike is looking for the TV remote on his couch.Mike finds the remote and uses it to turn on the TV in his living room.Mike walks over to the couch in front of his TV and watches a show.When it started to get dark, Mike turned on the lights in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.",plausible
"Mike is looking for the TV remote on his couch.Mike walks over to the couch in front of his TV and watches a show.Mike finds the remote and uses it to turn on the TV in his living room.When it started to get dark, Mike turned on the lights in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.",plausible
"Mike is looking for the TV remote on his couch.Mike finds the remote and uses it to turn on the TV in his living room.Mike walks over to the couch in front of his TV and watches a show.When it started to get dark, Mike turned on the lights in his living room.After it was dark for a while and his shows finished, Mike left his living room and went to bed.",plausible
Mary sat down in the chair.Mary was tired so she turned off the television.Mary went to bed.Mary turned off the lamp.Mary got out of the chair.,implausible
Mary sat down in the chair.Mary was tired so she turned off the television.Mary got out of the chair.Mary turned off the lamp.Mary went to bed.,implausible
Mary got out of the chair.Mary was tired so she turned off the television.Mary sat down in the chair.Mary turned off the lamp.Mary went to bed.,implausible
Mary sat down in the chair.Mary was tired so she turned off the television.Mary got out of the chair.Mary turned off the lamp.Mary went to bed.,implausible
Mary went to bed.Mary was tired so she turned off the television.Mary got out of the chair.Mary turned off the lamp.Mary sat down in the chair.,implausible
Mary sat down in the chair.Mary was tired so she turned off the television.Mary got out of the chair.Mary turned off the lamp.Mary went to bed.,implausible
Tom took a plate from kitchen and put it on dining table.Tom applied butter on toasted breads and placed it on plate.Tom toasted the bread.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,plausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
Tom took a plate from kitchen and put it on dining table.Tom ate bread with milk and finished his breakfast.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom toasted the bread.,implausible
Tom took a plate from kitchen and put it on dining table.Tom toasted the bread.Tom applied butter on toasted breads and placed it on plate.Tom mixed some nuts in a cup of hot milk.Tom ate bread with milk and finished his breakfast.,implausible
